Word,Tech-IB Score
cusip,4
customer,3
customers,3
customisable,2
customization,2
customize,2
customized,2
cyber,2
dashboards,2
data,4
database,3
datatech,3
debate,1
debit,2
debt,3
debut,3
decree,1
definitely,1
definitive,1
delivered,1
deliveries,1
delivering,1
delivers,1
delivery,2
dell,2
demo,2
demonstrably,1
demonstration,2
demystifying,1
deploy,3
deployment,3
designed,2
designer,1
designing,1
desk,1
desktop,2
develop,2
developer,2
developers,2
developing,2
development,2
developmt,1
device,1
devices,1
devs,1
director,3
directors,3
directx,2
discretionary,2
disrupting,1
disruption,1
disruptive,1
disruptor,1
distinguished,1
distribution,1
disturbing,1
divergence,1
dividend,4
dividends,4
dj,3
djia,3
dollar,1
dominance,1
dominate,1
dominates,1
dow,4
downgraded,2
downgrading,2
download,2
downloading,2
downtrend,3
drafting,1
drop,1
dropbox,2
dropped,1
drops,1
dynamic,3
dynamics,3
eager,1
earner,3
earning,4
earnings,4
ebay,2
ebook,2
ecommerce,2
economic,3
edge,2
editing,1
edition,1
editions,1
education,1
educator,1
effect,1
effective,1
effectively,1
election,1
electric,1
eliminate,1
email,2
emailed,2
emails,2
embarking,1
emblem,1
eminently,1
emoji,2
employee,2
employees,2
employer,2
empower,2
empowering,2
engage,2
engaged,2
engagement,2
engagements,2
engaging,2
engine,2
engineer,2
enigma,1
enterprise,3
entertainment,1
entrepreneur,3
equities,3
exec,2
facebook,2
filings,4
finance,3
financial,4
financials,4
financing,4
firm,2
firms,2
foundation,1
framework,1
fund,4
funds,3
future,2
futuristic,2
gain,2
gained,1
gaining,1
gartner,3
godaddy,1
goog,2
googl,3
google,4
googles,2
googling,1
growth,2
hack,2
hackable,2
hacker,2
hackers,2
hacking,2
hackrs,2
hacks,2
hadoop,2
hardware,0
headset,1
healthcare,2
hedge,4
hire,2
hires,2
hiring,2
holder,3
holdings,4
hype,1
hyped,1
hyper,1
ibm,2
icloud,3
imminent,1
impedes,1
impending,1
implement,1
implementation,1
implied,1
incubator,1
independent,1
indistinguishable,1
individual,1
industrial,3
industrials,3
industry,3
influence,2
infrastructure,3
innovate,1
innovation,1
innovations,1
innovative,1
insider,3
instagram,3
install,2
installation,2
installing,2
insurance,1
integral,1
integrate,1
integrated,1
integrates,1
integration,2
integrations,1
integrity,2
intel,2
intellectual,2
intelligence,2
intelligent,2
interface,2
internship,1
interprofessional,1
intuitive,0
invest,3
invested,3
investigating,1
investigation,1
investigations,1
investing,3
investment,4
investments,4
investor,4
investors,4
invests,4
iot,2
iphone,3
ishares,2
job,3
joining,1
joint,2
keyboard,1
keynote,2
kinect,2
laptop,2
laptops,2
launch,3
launched,3
launches,3
launching,3
law,2
lawsuits,3
lawyers,2
layoffs,1
leader,1
leaders,1
league,1
leverage,1
leveraging,1
license,2
licensed,2
limited,1
linux,1
listening,1
lithium,1
live,1
loading,1
logged,1
logging,1
longs,2
lowered,1
lowering,1
macbook,2
macworld,1
mainstream,1
manage,1
management,3
manager,1
managers,1
manages,1
managing,2
market,3
maturity,2
maximise,1
maximized,1
maximizer,1
mckinsey,1
media,2
meeting,1
meetings,1
meets,1
merger,5
microsoft,4
migrate,1
million,2
minds,1
mobile,2
model,1
momentum,2
monetization,3
monetize,3
money,3
monitoring,1
msft,2
musk,1
nadella,2
netapp,2
netflix,2
network,2
networking,2
networks,2
nokia,1
nomura,2
online,2
operated,1
operating,1
operations,2
operators,1
opinion,1
opinions,1
opportunistically,2
opportunities,2
opportunity,2
optimal,1
optimist,1
optimistic,1
optimization,1
optimizing,1
option,2
options,3
package,1
packages,2
partner,3
partnered,4
partners,2
partnership,4
partnerships,4
patent,3
patents,3
pay,2
payment,3
paypal,2
pays,2
petroleum,1
pharmaceutical,1
pharmaceuticals,1
pioneer,2
platform,3
playstation,3
playstore,3
portal,2
portals,2
portfolio,4
potential,3
presented,1
presenting,1
presents,1
preservation,1
president,1
presidential,1
price,3
prioritized,1
products,2
profit,3
profitable,4
programme,2
programmer,2
programming,2
project,2
projects,2
public,2
purchase,3
purchasing,3
push,3
qualify,2
quality,2
quantified,2
queues,2
quotable,2
quote,3
quotes,3
raise,2
raises,2
rating,3
ratio,2
real,2
recruiter,2
recruiters,2
recruitment,2
regulatory,3
reinforcement,2
reinventing,2
reiterate,2
reiterated,2
reiterates,1
relations,1
relationship,1
relationships,1
repurchases,4
revenue,4
revenues,4
rich,0
rumor,1
sales,3
salesforce,4
sector,3
sell,2
server,2
service,2
shareholders,5
sharepoint,3
shares,2
silicon,1
skype,2
smartglass,2
smartphone,2
smartphones,2
smartwatches,2
social,3
software,3
solution,2
solutions,2
stakes,2
startups,4
stock,4
stocks,4
strength,1
subscribe,1
subscribed,1
subscribers,1
subscription,1
subscriptions,1
substantial,1
suitors,2
systems,2
tablet,1
tablets,1
take,3
target,2
tech,3
technical,2
technology,4
tesla,1
test,2
testing,3
tests,2
ticker,4
trade,4
trader,3
traders,3
trades,3
transformation,1
trending,2
tutorial,2
twitter,2
twtr,2
underestimated,3
underperforming,2
unemployment,2
upscale,2
upsell,3
upselling,4
uptrend,3
variable,1
velocity,1
verizon,1
virtualization,2
vmware,1
volatility,4
volume,3
votes,2
wallstreet,3
watch,1
watches,1
web,3
webinar,2
whitepaper,2
windows,2
word,2
worker,2
workers,2
workflow,2
workforce,2
xbox,2
yahoo,2
youtube,2
